ort,plz,landkreis,bundesland
Kirchhain,35274,Landkreis Marburg-Biedenkopf,Hessen
Kirchham,94148,Landkreis Passau,Bayern
Kirchhaslach,87755,Landkreis Unterallgäu,Bayern
Kirchheilingen,99947,Unstrut-Hainich-Kreis,Thüringen
Kirchheim,97268,Landkreis Würzburg,Bayern
Kirchheim,36275,Landkreis Hersfeld-Rotenburg,Hessen
Kirchheim am Neckar,74366,Landkreis Ludwigsburg,Baden-Württemberg
Kirchheim am Ries,73467,Ostalbkreis,Baden-Württemberg
Kirchheim an der Weinstraße,67281,Landkreis Bad Dürkheim,Rheinland-Pfalz
Kirchheim bei München,85551,Landkreis München,Bayern
Kirchheimbolanden,67292,Donnersbergkreis,Rheinland-Pfalz
Kirchheim in Schwaben,87757,Landkreis Unterallgäu,Bayern
Kirchheim unter Teck,73230,Landkreis Esslingen,Baden-Württemberg
Kirchhundem,57399,Kreis Olpe,Nordrhein-Westfalen
Kirch Jesar,19230,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Kirchlauter,96166,Landkreis Haßberge,Bayern
Kirchlengern,32278,Kreis Herford,Nordrhein-Westfalen
Kirchlinteln,27308,Landkreis Verden,Niedersachsen
Kirchnüchel,23714,Kreis Plön,Schleswig-Holstein
Kirchroth,94356,Landkreis Straubing-Bogen,Bayern
Kirchsahr,53505,Landkreis Ahrweiler,Rheinland-Pfalz
Kirchseelte,27243,Landkreis Oldenburg,Niedersachsen
Kirchseeon,85614,Landkreis Ebersberg,Bayern
Kirchspiel Garding,25836,Kreis Nordfriesland,Schleswig-Holstein
Kirchtimke,27412,Landkreis Rotenburg (Wümme),Niedersachsen
Kirchwald,56729,Landkreis Mayen-Koblenz,Rheinland-Pfalz
Kirchwalsede,27386,Landkreis Rotenburg (Wümme),Niedersachsen
Kirchweidach,84558,Landkreis Altötting,Bayern
Kirchweiler,54570,Landkreis Vulkaneifel,Rheinland-Pfalz
Kirchworbis,37339,Landkreis Eichsfeld,Thüringen
Kirchzarten,79199,Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg
Kirchzell,63931,Landkreis Miltenberg,Bayern
Kirf,54441,Landkreis Trier-Saarburg,Rheinland-Pfalz
Kirkel,66459,Saarpfalz-Kreis,Saarland
Kirn,55606,Landkreis Bad Kreuznach,Rheinland-Pfalz
Kirrweiler,67744,Landkreis Kusel,Rheinland-Pfalz
Kirrweiler,67489,Landkreis Südliche Weinstraße,Rheinland-Pfalz
Kirsbach,53539,Landkreis Vulkaneifel,Rheinland-Pfalz
Kirschkau,07919,Saale-Orla-Kreis,Thüringen
Kirschroth,55566,Landkreis Bad Kreuznach,Rheinland-Pfalz
Kirschweiler,55743,Landkreis Birkenfeld,Rheinland-Pfalz
Kirtorf,36320,Vogelsbergkreis,Hessen
Kisdorf,24629,Kreis Segeberg,Schleswig-Holstein
Kisselbach,56291,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
Kissenbrück,38324,Landkreis Wolfenbüttel,Niedersachsen
Kissing,86438,Landkreis Aichach-Friedberg,Bayern
Kißlegg,88353,Landkreis Ravensburg,Baden-Württemberg
Kist,97270,Landkreis Würzburg,Bayern
Kittendorf,17153,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Kittlitz,23911,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Kitzingen,97318,Landkreis Kitzingen,Bayern
Kitzscher,04567,Landkreis Leipzig,Sachsen
Klamp,24321,Kreis Plön,Schleswig-Holstein
Klanxbüll,25924,Kreis Nordfriesland,Schleswig-Holstein
Klappholz,24860,Kreis Schleswig-Flensburg,Schleswig-Holstein
Klausdorf,18445,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Klausen,54524,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
Kleinaitingen,86507,Landkreis Augsburg,Bayern
Klein Barkau,24245,Kreis Plön,Schleswig-Holstein
Klein Belitz,18246,Landkreis Rostock,Mecklenburg-Vorpommern
Klein Bennebek,24848,Kreis Schleswig-Flensburg,Schleswig-Holstein
Klein Bennebek,24863,Kreis Schleswig-Flensburg,Schleswig-Holstein
Klein Berßen,49777,Landkreis Emsland,Niedersachsen
Kleinblittersdorf,66271,Regionalverband Saarbrücken,Saarland
Kleinbockedra,07646,Saale-Holzland-Kreis,Thüringen
Kleinbundenbach,66501,Landkreis Südwestpfalz,Rheinland-Pfalz
Klein Bünzow,17390,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Kleinebersdorf,07646,Saale-Holzland-Kreis,Thüringen
Kleines Wiesental,79692,Landkreis Lörrach,Baden-Württemberg
Kleineutersdorf,07768,Saale-Holzland-Kreis,Thüringen
Kleinfischlingen,67483,Landkreis Südliche Weinstraße,Rheinland-Pfalz
Kleinfurra,99735,Landkreis Nordhausen,Thüringen
Klein Gladebrügge,23795,Kreis Segeberg,Schleswig-Holstein
Kleinheubach,63924,Landkreis Miltenberg,Bayern
Kleinich,54483,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
Kleinkahl,63828,Landkreis Aschaffenburg,Bayern
Kleinkarlbach,67271,Landkreis Bad Dürkheim,Rheinland-Pfalz
Kleinlangenfeld,54597,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Kleinlangheim,97355,Landkreis Kitzingen,Bayern
Kleinmachnow,14532,Landkreis Potsdam-Mittelmark,Brandenburg
Kleinmaischeid,56271,Landkreis Neuwied,Rheinland-Pfalz
Klein Meckelsen,27419,Landkreis Rotenburg (Wümme),Niedersachsen
Kleinmölsen,99198,Landkreis Sömmerda,Thüringen
Kleinneuhausen,99625,Landkreis Sömmerda,Thüringen
Kleinniedesheim,67259,Rhein-Pfalz-Kreis,Rheinland-Pfalz
Klein Nordende,25336,Kreis Pinneberg,Schleswig-Holstein
Klein Offenseth-Sparrieshoop,25365,Kreis Pinneberg,Schleswig-Holstein
Kleinostheim,63801,Landkreis Aschaffenburg,Bayern
Klein Pampau,21514,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Klein Rheide,24848,Kreis Schleswig-Flensburg,Schleswig-Holstein
Kleinrinderfeld,97271,Landkreis Würzburg,Bayern
Klein Rogahn,19073,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Klein Rönnau,23795,Kreis Segeberg,Schleswig-Holstein
Kleinschwabhausen,99441,Landkreis Weimarer Land,Thüringen
Kleinsendelbach,91077,Landkreis Forchheim,Bayern
Kleinsteinhausen,66484,Landkreis Südwestpfalz,Rheinland-Pfalz
Klein Trebbow,19069,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
Klein Upahl,18276,Landkreis Rostock,Mecklenburg-Vorpommern
Klein Vielen,17237,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Kleinwallstadt,63839,Landkreis Miltenberg,Bayern
Klein Wesenberg,23860,Kreis Stormarn,Schleswig-Holstein
Klein-Winternheim,55270,Landkreis Mainz-Bingen,Rheinland-Pfalz
Klein Wittensee,24361,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Klein Zecher,23883,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Klempau,23628,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Kleßen-Görne,14728,Landkreis Havelland,Brandenburg
Kletkamp,24327,Kreis Plön,Schleswig-Holstein
Klettbach,99102,Landkreis Weimarer Land,Thüringen
Klettgau,79771,Landkreis Waldshut,Baden-Württemberg
Kletzin,17111,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Kleve,47533,Kreis Kleve,Nordrhein-Westfalen
Kleve,25554,Kreis Steinburg,Schleswig-Holstein
Kleve,25776,Kreis Dithmarschen,Schleswig-Holstein
Kleve,25779,Kreis Dithmarschen,Schleswig-Holstein
Kliding,56825,Landkreis Cochem-Zell,Rheinland-Pfalz
Klietz,39524,Landkreis Stendal,Sachsen-Anhalt
Klingelbach,56368,Rhein-Lahn-Kreis,Rheinland-Pfalz
Klingenberg,01774,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
Klingenberg am Main,63911,Landkreis Miltenberg,Bayern
Klingenmünster,76889,Landkreis Südliche Weinstraße,Rheinland-Pfalz
Klingenthal,08248,Vogtlandkreis,Sachsen
Klingenthal,08267,Vogtlandkreis,Sachsen
Klink,17192,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Klinkrade,23898,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Klipphausen,01665,Landkreis Meißen,Sachsen
Klixbüll,25899,Kreis Nordfriesland,Schleswig-Holstein
Klocksin,17194,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Klosterkumbd,55469,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
Klosterlechfeld,86836,Landkreis Augsburg,Bayern
Kloster Lehnin,14797,Landkreis Potsdam-Mittelmark,Brandenburg
Klostermansfeld,06308,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
Kloster Tempzin,19412,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Kloster Veßra,98660,Landkreis Hildburghausen,Thüringen
Klotten,56818,Landkreis Cochem-Zell,Rheinland-Pfalz
Klötze,38486,Altmarkkreis Salzwedel,Sachsen-Anhalt
Kludenbach,55481,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
Kluis,18569,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Kluse,26892,Landkreis Emsland,Niedersachsen
Klüsserath,54340,Landkreis Trier-Saarburg,Rheinland-Pfalz
Klütz,23946,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
Klütz,23948,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
Kneese,19205,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
Kneitlingen,38170,Landkreis Wolfenbüttel,Niedersachsen
Knetzgau,97478,Landkreis Haßberge,Bayern
Knittelsheim,76879,Landkreis Germersheim,Rheinland-Pfalz
Knittlingen,75438,Enzkreis,Baden-Württemberg
Knopp-Labach,66917,Landkreis Südwestpfalz,Rheinland-Pfalz
Knöringen,76833,Landkreis Südliche Weinstraße,Rheinland-Pfalz
Knorrendorf,17091,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Knüllwald,34593,Schwalm-Eder-Kreis,Hessen
Koberg,23881,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Kobern-Gondorf,56330,Landkreis Mayen-Koblenz,Rheinland-Pfalz
Koblentz,17309,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Koblenz,56068,,Rheinland-Pfalz
Koblenz,56070,,Rheinland-Pfalz
Koblenz,56072,,Rheinland-Pfalz
Koblenz,56073,,Rheinland-Pfalz
Koblenz,56075,,Rheinland-Pfalz
Koblenz,56076,,Rheinland-Pfalz
Koblenz,56077,,Rheinland-Pfalz
Kobrow,19406,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Kochel am See,82431,Landkreis Bad Tölz-Wolfratshausen,Bayern
Kochel am See,82432,Landkreis Bad Tölz-Wolfratshausen,Bayern
Kodersdorf,02923,Landkreis Görlitz,Sachsen
Köditz,95189,Landkreis Hof,Bayern
Ködnitz,95361,Landkreis Kulmbach,Bayern
Köfering,93096,Landkreis Regensburg,Bayern
Kogel,19246,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Kohlberg,92702,Landkreis Neustadt an der Waldnaab,Bayern
Kohlberg,72664,Landkreis Esslingen,Baden-Württemberg
Köhn,24257,Kreis Plön,Schleswig-Holstein
Kolbermoor,83059,Landkreis Rosenheim,Bayern
Kolbingen,78600,Landkreis Tuttlingen,Baden-Württemberg
Kölbingen,56459,Westerwaldkreis,Rheinland-Pfalz
Koldenbüttel,25840,Kreis Nordfriesland,Schleswig-Holstein
Kolitzheim,97509,Landkreis Schweinfurt,Bayern
Kolkerheide,25862,Kreis Nordfriesland,Schleswig-Holstein
Kolkwitz,03099,Landkreis Spree-Neiße,Brandenburg
Kölleda,99625,Landkreis Sömmerda,Thüringen
Kollig,56751,Landkreis Mayen-Koblenz,Rheinland-Pfalz
Kollmar,25377,Kreis Steinburg,Schleswig-Holstein
Kollmoor,25524,Kreis Steinburg,Schleswig-Holstein
Kollnburg,94262,Landkreis Regen,Bayern
Kölln-Reisiek,25337,Kreis Pinneberg,Schleswig-Holstein
Kollow,21527,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Kollweiler,66879,Landkreis Kaiserslautern,Rheinland-Pfalz
Köln,50667,,Nordrhein-Westfalen
Köln,50668,,Nordrhein-Westfalen
Köln,50670,,Nordrhein-Westfalen
Köln,50672,,Nordrhein-Westfalen
Köln,50674,,Nordrhein-Westfalen
Köln,50676,,Nordrhein-Westfalen
Köln,50677,,Nordrhein-Westfalen
Köln,50678,,Nordrhein-Westfalen
Köln,50679,,Nordrhein-Westfalen
Köln,50733,,Nordrhein-Westfalen
Köln,50735,,Nordrhein-Westfalen
Köln,50737,,Nordrhein-Westfalen
Köln,50739,,Nordrhein-Westfalen
Köln,50765,,Nordrhein-Westfalen
Köln,50767,,Nordrhein-Westfalen
Köln,50769,,Nordrhein-Westfalen
Köln,50823,,Nordrhein-Westfalen
Köln,50825,,Nordrhein-Westfalen
Köln,50827,,Nordrhein-Westfalen
Köln,50829,,Nordrhein-Westfalen
Köln,50858,,Nordrhein-Westfalen
Köln,50859,,Nordrhein-Westfalen
Köln,50931,,Nordrhein-Westfalen
Köln,50933,,Nordrhein-Westfalen
Köln,50935,,Nordrhein-Westfalen
Köln,50937,,Nordrhein-Westfalen
Köln,50939,,Nordrhein-Westfalen
Köln,50968,,Nordrhein-Westfalen
Köln,50969,,Nordrhein-Westfalen
Köln,50996,,Nordrhein-Westfalen
Köln,50997,,Nordrhein-Westfalen
Köln,50999,,Nordrhein-Westfalen
Köln,51061,,Nordrhein-Westfalen
Köln,51063,,Nordrhein-Westfalen
Köln,51065,,Nordrhein-Westfalen
Köln,51067,,Nordrhein-Westfalen
Köln,51069,,Nordrhein-Westfalen
Köln,51103,,Nordrhein-Westfalen
Köln,51105,,Nordrhein-Westfalen
Köln,51107,,Nordrhein-Westfalen
Köln,51109,,Nordrhein-Westfalen
Köln,51143,,Nordrhein-Westfalen
Köln,51145,,Nordrhein-Westfalen
Köln,51147,,Nordrhein-Westfalen
Köln,51149,,Nordrhein-Westfalen
Köln,51467,,Nordrhein-Westfalen
Kolverath,56767,Landkreis Vulkaneifel,Rheinland-Pfalz
Kommen,54472,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
Köngen,73257,Landkreis Esslingen,Baden-Württemberg
Köngernheim,55278,Landkreis Mainz-Bingen,Rheinland-Pfalz
Königheim,97953,Main-Tauber-Kreis,Baden-Württemberg
Königsau,55606,Landkreis Bad Kreuznach,Rheinland-Pfalz
Königsbach-Stein,75203,Enzkreis,Baden-Württemberg
Königsberg in Bayern,97486,Landkreis Haßberge,Bayern
Königsbronn,89551,Landkreis Heidenheim,Baden-Württemberg
Königsbrück,01936,Landkreis Bautzen,Sachsen
Königsbrunn,86343,Landkreis Augsburg,Bayern
Königsdorf,82549,Landkreis Bad Tölz-Wolfratshausen,Bayern
Königsee,07426,Landkreis Saalfeld-Rudolstadt,Thüringen
Königseggwald,88376,Landkreis Ravensburg,Baden-Württemberg
Königsfeld,09306,Landkreis Mittelsachsen,Sachsen
Königsfeld,53426,Landkreis Ahrweiler,Rheinland-Pfalz
Königsfeld,96167,Landkreis Bamberg,Bayern
Königsfeld,19217,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
Königsfeld im Schwarzwald,78126,Schwarzwald-Baar-Kreis,Baden-Württemberg
Königshain,02829,Landkreis Görlitz,Sachsen
Königshain-Wiederau,09306,Landkreis Mittelsachsen,Sachsen
Königsheim,78598,Landkreis Tuttlingen,Baden-Württemberg
Königshügel,24799,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Königslutter am Elm,38154,Landkreis Helmstedt,Niedersachsen
Königsmoor,21255,Landkreis Harburg,Niedersachsen
Königsmoos,86669,Landkreis Neuburg-Schrobenhausen,Bayern
Königstein,01824,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
Königstein,92281,Landkreis Amberg-Sulzbach,Bayern
Königstein im Taunus,61462,Hochtaunuskreis,Hessen
Königswalde,09471,Erzgebirgskreis,Sachsen
Königswartha - Rakecy,02699,Landkreis Bautzen,Sachsen
Königswinter,53639,Rhein-Sieg-Kreis,Nordrhein-Westfalen
Königs Wusterhausen,15711,Landkreis Dahme-Spreewald,Brandenburg
Königs Wusterhausen,15712,Landkreis Dahme-Spreewald,Brandenburg
Königs Wusterhausen,15713,Landkreis Dahme-Spreewald,Brandenburg
Konken,66871,Landkreis Kusel,Rheinland-Pfalz
Könnern,06420,Salzlandkreis,Sachsen-Anhalt
Konnersreuth,95692,Landkreis Tirschenreuth,Bayern
Konradsreuth,95176,Landkreis Hof,Bayern
Konstanz,78462,Landkreis Konstanz,Baden-Württemberg
Konstanz,78464,Landkreis Konstanz,Baden-Württemberg
Konstanz,78465,Landkreis Konstanz,Baden-Württemberg
Konstanz,78467,Landkreis Konstanz,Baden-Württemberg
Konz,54329,Landkreis Trier-Saarburg,Rheinland-Pfalz
Konzell,94357,Landkreis Straubing-Bogen,Bayern
Kopp,54574,Landkreis Vulkaneifel,Rheinland-Pfalz
Korb,71404,Rems-Murr-Kreis,Baden-Württemberg
Korbach,34497,Landkreis Waldeck-Frankenberg,Hessen
Korbach,34513,Landkreis Waldeck-Frankenberg,Hessen
Körborn,66871,Landkreis Kusel,Rheinland-Pfalz
Korbußen,07554,Landkreis Greiz,Thüringen
Kordel,54306,Landkreis Trier-Saarburg,Rheinland-Pfalz
Kördorf,56370,Rhein-Lahn-Kreis,Rheinland-Pfalz
Körle,34327,Schwalm-Eder-Kreis,Hessen
Korlingen,54317,Landkreis Trier-Saarburg,Rheinland-Pfalz
Körner,99998,Unstrut-Hainich-Kreis,Thüringen
Korntal-Münchingen,70825,Landkreis Ludwigsburg,Baden-Württemberg
Kornwestheim,70806,Landkreis Ludwigsburg,Baden-Württemberg
Körperich,54675,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Korschenbroich,41352,Rhein-Kreis Neuss,Nordrhein-Westfalen
Korswandt,17419,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Korweiler,56288,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
Kösching,85092,Landkreis Eichstätt,Bayern
Kosel,24354,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Koserow,17459,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Kospoda,07806,Saale-Orla-Kreis,Thüringen
Kößlarn,94149,Landkreis Passau,Bayern
Köthel,22929,Kreis Stormarn,Schleswig-Holstein
Köthel,22929,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Köthen (Anhalt),06366,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
Köthen (Anhalt),06369,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
Köthen (Anhalt),06388,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
Kottenborn,53518,Landkreis Ahrweiler,Rheinland-Pfalz
Kottenheim,56736,Landkreis Mayen-Koblenz,Rheinland-Pfalz
Kötterichen,56767,Landkreis Vulkaneifel,Rheinland-Pfalz
Kottgeisering,82288,Landkreis Fürstenfeldbruck,Bayern
Kottmar,02708,Landkreis Görlitz,Sachsen
Kottmar,02739,Landkreis Görlitz,Sachsen
Kottweiler-Schwanden,66879,Landkreis Kaiserslautern,Rheinland-Pfalz
Kötz,89359,Landkreis Günzburg,Bayern
Kotzen,14715,Landkreis Havelland,Brandenburg
Kotzenbüll,25832,Kreis Nordfriesland,Schleswig-Holstein
Köwerich,54340,Landkreis Trier-Saarburg,Rheinland-Pfalz
Koxhausen,54673,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Kraam,57635,Landkreis Altenkirchen,Rheinland-Pfalz
Krackow,17329,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Kradenbach,54552,Landkreis Vulkaneifel,Rheinland-Pfalz
Kraftisried,87647,Landkreis Ostallgäu,Bayern
Kraftsdorf,07586,Landkreis Greiz,Thüringen
Krähenberg,66894,Landkreis Südwestpfalz,Rheinland-Pfalz
Kraiburg,84559,Landkreis Mühldorf am Inn,Bayern
Kraichtal,76703,Landkreis Karlsruhe,Baden-Württemberg
Krailling,82152,Landkreis Starnberg,Bayern
Krailling,82349,Landkreis Starnberg,Bayern
Krakow am See,18292,Landkreis Rostock,Mecklenburg-Vorpommern
Kramerhof,18445,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Kranenburg,47559,Kreis Kleve,Nordrhein-Westfalen
Kranenburg,21726,Landkreis Stade,Niedersachsen
Kranichfeld,99448,Landkreis Weimarer Land,Thüringen
Kranzberg,85402,Landkreis Freising,Bayern
Kratzeburg,17237,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Kratzenburg,56283,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
Krauchenwies,72505,Landkreis Sigmaringen,Baden-Württemberg
Krauschwitz - Krušwica,02957,Landkreis Görlitz,Sachsen
Krausnick-Groß Wasserburg,15910,Landkreis Dahme-Spreewald,Brandenburg
Krauthausen,99819,Wartburgkreis,Thüringen
Krautheim,74238,Hohenlohekreis,Baden-Württemberg
Krautscheid,54673,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Krayenberggemeinde,36460,Wartburgkreis,Thüringen
Kreba-Neudorf - Chrjebja-Nowa Wjes,02906,Landkreis Görlitz,Sachsen
